GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
WL_GPIO0,EXT_GPIO0
WL_GPIO1,EXT_GPIO1
WL_GPIO2,EXT_GPIO2
LED,EXT_GPIO0
USER,GPIO8
OLED_SCL,GPIO15
OLED_SDA,GPIO14
BUZZER,GPIO18
US_ECHO,GPIO13
US_TRIGGER,GPIO12
LINE_LEFT,GPIO11
LINE_MID,GPIO10
LINE_RIGHT,GPIO9
ENC_B1,GPIO3
ENC_B2,GPIO2
ENC_A1,GPIO0
ENC_A2,GPIO1
MOTOR_A1,GPIO5
MOTOR_A2,GPIO4
MOTOR_B1,GPIO6
MOTOR_B2,GPIO7
